transaction_id,account_id,amount,iso_currency_code,unofficial_currency_code,category,category_id,date,authorized_date,location_address,location_city,location_region,location_postal_code,location_country,location_lat,location_lon,name,merchant_name,payment_channel,pending,pending_transaction_id,account_owner,transaction_code
tx0146,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2025-02-01,2025-02-01,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0147,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2025-02-02,2025-02-01,,,,,,,Amazon,Amazon,online,false,,,
tx0148,67890,35.00,USD,,["Travel", "Gas"],22002000,2025-02-03,2025-02-02,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0149,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2025-02-04,2025-02-03,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0150,67890,75.00,USD,,["Services", "Education"],24000000,2025-02-05,2025-02-04,,,,,,,Coursera,Coursera,online,false,,,
tx0151,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2025-02-06,2025-02-05,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0152,67890,67.80,USD,,["Shops", "Groceries"],13001000,2025-02-07,2025-02-06,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0153,67890,300.00,USD,,["Travel", "Airlines"],22000000,2025-02-08,2025-02-07,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0154,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2025-02-09,2025-02-08,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0155,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2025-02-10,2025-02-09,,,,,,,Spotify,Spotify,online,false,,,
tx0156,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2025-02-11,2025-02-10,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0157,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2025-02-12,2025-02-11,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0158,67890,60.00,USD,,["Travel", "Gas"],22002000,2025-02-13,2025-02-12,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0159,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2025-02-14,2025-02-13,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0160,67890,125.00,USD,,["Services", "Education"],24000000,2025-02-15,2025-02-14,,,,,,,Udemy,Udemy,online,false,,,
tx0161,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2025-02-16,2025-02-15,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0162,67890,45.20,USD,,["Shops", "Groceries"],13001000,2025-02-17,2025-02-16,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0163,67890,250.00,USD,,["Travel", "Airlines"],22000000,2025-02-18,2025-02-17,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0164,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2025-02-19,2025-02-18,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0165,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2025-02-20,2025-02-19,,,,,,,Netflix,Netflix,online,false,,,
tx0166,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2025-02-21,2025-02-20,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0167,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2025-02-22,2025-02-21,,,,,,,Amazon,Amazon,online,false,,,
tx0168,67890,35.00,USD,,["Travel", "Gas"],22002000,2025-02-23,2025-02-22,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0169,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2025-02-24,2025-02-23,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0170,67890,75.00,USD,,["Services", "Education"],24000000,2025-02-25,2025-02-24,,,,,,,Coursera,Coursera,online,false,,,
tx0171,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2025-02-26,2025-02-25,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0172,67890,67.80,USD,,["Shops", "Groceries"],13001000,2025-02-27,2025-02-26,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0173,67890,300.00,USD,,["Travel", "Airlines"],22000000,2025-02-28,2025-02-27,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0174,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2025-03-01,2025-03-01,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0175,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2025-03-02,2025-03-01,,,,,,,Spotify,Spotify,online,false,,,
tx0176,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2025-03-03,2025-03-02,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0177,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2025-03-04,2025-03-03,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0178,67890,60.00,USD,,["Travel", "Gas"],22002000,2025-03-05,2025-03-04,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0179,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2025-03-06,2025-03-05,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0180,67890,125.00,USD,,["Services", "Education"],24000000,2025-03-07,2025-03-06,,,,,,,Udemy,Udemy,online,false,,,
tx0181,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2025-03-08,2025-03-07,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0182,67890,45.20,USD,,["Shops", "Groceries"],13001000,2025-03-09,2025-03-08,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0183,67890,250.00,USD,,["Travel", "Airlines"],22000000,2025-03-10,2025-03-09,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0184,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2025-03-11,2025-03-10,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0185,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2025-03-12,2025-03-11,,,,,,,Netflix,Netflix,online,false,,,
tx0186,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2025-03-13,2025-03-12,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0187,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2025-03-14,2025-03-13,,,,,,,Amazon,Amazon,online,false,,,
tx0188,67890,35.00,USD,,["Travel", "Gas"],22002000,2025-03-15,2025-03-14,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0189,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2025-03-16,2025-03-15,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0190,67890,75.00,USD,,["Services", "Education"],24000000,2025-03-17,2025-03-16,,,,,,,Coursera,Coursera,online,false,,,
tx0191,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2025-03-18,2025-03-17,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0192,67890,67.80,USD,,["Shops", "Groceries"],13001000,2025-03-19,2025-03-18,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0193,67890,300.00,USD,,["Travel", "Airlines"],22000000,2025-03-20,2025-03-19,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0194,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2025-03-21,2025-03-20,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0195,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2025-03-22,2025-03-21,,,,,,,Spotify,Spotify,online,false,,,
tx0196,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2025-03-23,2025-03-22,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0197,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2025-03-24,2025-03-23,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0198,67890,60.00,USD,,["Travel", "Gas"],22002000,2025-03-25,2025-03-24,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0199,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2025-03-26,2025-03-25,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0200,67890,125.00,USD,,["Services", "Education"],24000000,2025-03-27,2025-03-26,,,,,,,Udemy,Udemy,online,false,,,
